month_start,user_months,active_users,gross_contribution,auto_investment,auto_roundup,roundup,lump_sum,found_money,reward,user_transfer,dividend,fee,withdrawal,net_flow_after_withdrawal_fee,total_end_balance,signins,crypto_portfolio_users,crypto_portfolio_share,portfolio_switches,portfolio_switch_rate
2021-02-01,515094,515094,53828650.45006422,18724694.319999997,7142969.040000017,252168.22000000003,27581278.780064266,71951.59000000024,49212.5,6376.0,7690.955343408611,618412.7564596831,31752728.500000007,21465200.14894799,574019994.5451119,353621.0,39596.0,0.07687140599579882,14778.0,0.028689909026313645
2021-03-01,525242,525242,50194495.280045524,21548857.159999996,8352595.500000005,207769.02999999997,19925272.43004567,74405.16000000015,56395.0,29201.0,7515.7173550435145,663288.4426682724,37146837.05999999,12391885.494732466,598853190.1378632,320653.0,44801.0,0.08529592073748862,12907.0,0.024573434721518843
2021-04-01,535411,535411,54983054.24004363,21796715.769999996,8285007.66999999,213720.09000000014,24495533.150043566,76999.56000000008,37455.0,77623.0,2243333.789867302,909045.739762186,31305356.53000001,25011985.760148708,636603216.6806691,362929.0,49940.0,0.093274138932521,11239.0,0.020991350569935993
2021-05-01,546101,546101,48704760.180042855,20694821.419999998,7987507.509999992,187483.25,19707600.67004288,90508.83000000006,27573.5,9265.0,7746.232674406298,932088.3450458666,37749605.34000002,10030812.727671426,655092929.5788876,365178.0,52144.0,0.09548416867942011,11568.0,0.02118289473925153
2021-06-01,553071,553071,53520947.65004576,21694640.94,8114135.850000002,195217.11,23385608.160045773,94049.09000000005,23310.5,13986.0,8088.655774899503,953737.2643861991,32075501.330000013,20499797.711434465,688879978.5662192,372079.0,53343.0,0.09644873804629062,7958.0,0.01438874936490975
2021-07-01,561330,561330,57832058.9300363,23327773.700000003,6656588.160000002,222431.83000000005,27468802.530036367,119495.21000000005,23597.5,13370.0,7010882.039429045,958775.7750059777,31654756.249999996,32229408.944459468,719431661.0229589,429960.0,54393.0,0.09690021912244134,9474.0,0.016877772433327987
2021-08-01,570272,570272,72888982.24004786,25680101.13,7821491.3999999985,267917.99000000005,38934396.30004788,123847.42000000006,23320.0,37908.0,7332.517515757898,973958.9331396864,30923536.04999998,40998819.77442403,776723852.6533535,410913.0,57459.0,0.10075718253745582,9633.0,0.01689193928511307
2021-09-01,578908,578908,63562309.89003768,25344668.619999997,7604859.080000001,209532.50999999995,30187358.290037893,155969.39,53256.0,6666.0,7941.255490761326,992063.1907372901,38748587.62999998,23829600.324791435,781099746.8336145,406016.0,59517.0,0.10280908192666192,10570.0,0.018258514306245553
2021-10-01,585933,585933,56245156.85003902,25528888.46,7834848.790000016,171364.0,22520120.780039236,139364.3200000001,24627.5,25943.0,5000076.449223609,1003770.8373849302,39175835.359999985,21065627.10187792,799646064.5075476,453090.0,62151.0,0.10607185463184357,10083.0,0.017208452160912595
2021-11-01,592778,592778,57479820.050039515,25965666.599999998,8623509.259999977,167170.27999999997,22447035.020039484,232867.8899999998,19355.0,24216.0,7040.57876554528,1146461.2709560145,48923895.91000002,7416503.447849005,820664192.4033599,527479.0,65714.0,0.11085769040011606,9583.0,0.01616625448312859
